country,Happiness_score,household
Bangladesh,4.607999802,0.440177441
Kyrgyzstan,5.004000187,0.440256029
Portugal,5.195000172,0.44026351
Kosovo,5.278999805,0.440340459
Georgia,4.285999775,0.4409917
Thailand,6.423999786,0.441233337
Thailand,6.423999786,0.441255271
Georgia,4.285999775,0.442742914
Japan,5.920000076,0.443165004
Mexico,6.578000069,0.443645418
Cyprus,5.620999813,0.445258856
Netherlands,7.376999855,0.446540862
Nepal,4.961999893,0.447182059
Belgium,6.890999794,0.447315395
Malaysia,6.084000111,0.448416948
Ireland,6.977000237,0.44849968
Nepal,4.961999893,0.448910266
Peru,5.715000153,0.448992848
Nigeria,5.073999882,0.44908005
Vietnam,5.073999882,0.4501037
Brazil,6.635000229,0.450316846
Panama,6.452000141,0.450419396
Bangladesh,4.607999802,0.450516969
Portugal,5.195000172,0.45052737
France,6.441999912,0.450647593
Mexico,6.578000069,0.450752199
Bosnia and Herzegovina,5.18200016,0.450905263
Australia,7.28399992,0.451516807
Senegal,4.534999847,0.452468991
Chile,6.65199995,0.452481776
Tanzania,3.348999977,0.452644765
El Salvador,6.002999783,0.452941388
Niger,4.027999878,0.452963054
Nicaragua,6.071000099,0.452997684
Tanzania,3.348999977,0.45316422
Germany,6.951000214,0.454417616
Cameroon,4.695000172,0.454521298
Nepal,4.961999893,0.454886734
Netherlands,7.376999855,0.455574274
El Salvador,6.002999783,0.455887049
Thailand,6.423999786,0.456662297
Uruguay,6.453999996,0.456667513
Mauritania,4.291999817,0.456840456
Armenia,4.375999928,0.457181633
El Salvador,6.002999783,0.457764566
Colombia,6.356999874,0.458029389
Finland,7.468999863,0.458035171
Peru,5.715000153,0.458387792
Finland,7.468999863,0.45906952
Guatemala,6.453999996,0.459572703
Chile,6.65199995,0.459796339
El Salvador,6.002999783,0.46023795
Mali,4.190000057,0.460374266
Nicaragua,6.071000099,0.46133697
Georgia,4.285999775,0.462737411
Benin,3.657000065,0.464345634
Netherlands,7.376999855,0.464674622
Peru,5.715000153,0.464930147
Iran,4.691999912,0.465095609
Colombia,6.356999874,0.465678215
Germany,6.951000214,0.465919226
Chile,6.65199995,0.466638207
Chile,6.65199995,0.466741949
Colombia,6.356999874,0.467719555
Bangladesh,4.607999802,0.468054682
Denmark,7.521999836,0.469388217
Niger,4.027999878,0.470181078
Ireland,6.977000237,0.470194757
Iran,4.691999912,0.4708471
Malaysia,6.084000111,0.471125931
Mexico,6.578000069,0.471575677
Italy,5.964000225,0.472247213
Benin,3.657000065,0.47372368
Georgia,4.285999775,0.473758221
Colombia,6.356999874,0.474248737
Niger,4.027999878,0.474756449
Colombia,6.356999874,0.474851757
Honduras,5.181000233,0.475822151
Thailand,6.423999786,0.475905448
Paraguay,5.493000031,0.476457238
Honduras,5.181000233,0.476664186
Peru,5.715000153,0.477306366
Colombia,6.356999874,0.477427602
Costa Rica,7.078999996,0.477598011
Philippines,5.429999828,0.479781032
Vietnam,5.073999882,0.479870409
Chile,6.65199995,0.48013857
Peru,5.715000153,0.480143815
Georgia,4.285999775,0.480516016
United Kingdom,6.714000225,0.480820388
India,4.315000057,0.480930597
Honduras,5.181000233,0.480978787
Nigeria,5.073999882,0.48107487
Romania,5.824999809,0.481471598
Romania,5.824999809,0.481752664
Nepal,4.961999893,0.483672142
Dominican Republic,5.230000019,0.484080136
Nicaragua,6.071000099,0.484314859
United Kingdom,6.714000225,0.48483628
Guatemala,6.453999996,0.486320674
Philippines,5.429999828,0.486497909
Mali,4.190000057,0.487034291
Chad,3.936000109,0.487147361
Dominican Republic,5.230000019,0.487150431
Paraguay,5.493000031,0.487262279
Guatemala,6.453999996,0.48915869
Costa Rica,7.078999996,0.489892542
Vietnam,5.073999882,0.489909858
Honduras,5.181000233,0.490092784
Cameroon,4.695000172,0.49091962
Cameroon,4.695000172,0.491360247
Nicaragua,6.071000099,0.49160099
Togo,3.494999886,0.491891712
Nigeria,5.073999882,0.492408693
Haiti,3.602999926,0.492606282
Guatemala,6.453999996,0.492923021
Indonesia,5.262000084,0.494106472
Cameroon,4.695000172,0.494476914
Guatemala,6.453999996,0.494588673
Benin,3.657000065,0.495051146
Chad,3.936000109,0.495086312
Chile,6.65199995,0.495457828
Ireland,6.977000237,0.495984018
Switzerland,7.493999958,0.496126264
Nepal,4.961999893,0.497268409
Chad,3.936000109,0.497335047
Chad,3.936000109,0.499015778
Malaysia,6.084000111,0.499112427
Togo,3.494999886,0.499219447
Haiti,3.602999926,0.499585599
Mali,4.190000057,0.500245273
Nigeria,5.073999882,0.500532091
Romania,5.824999809,0.501012683
Georgia,4.285999775,0.502008557
Ireland,6.977000237,0.502658725
Costa Rica,7.078999996,0.503161848
Chad,3.936000109,0.50333178
Denmark,7.521999836,0.504105687
Denmark,7.521999836,0.50498873
Paraguay,5.493000031,0.505039632
Costa Rica,7.078999996,0.506199896
Niger,4.027999878,0.506254792
Japan,5.920000076,0.506913602
Nicaragua,6.071000099,0.50710696
Malaysia,6.084000111,0.508579433
Colombia,6.356999874,0.510006428
Dominican Republic,5.230000019,0.510094047
Switzerland,7.493999958,0.510792732
Mali,4.190000057,0.512073338
Benin,3.657000065,0.514151752
Zambia,4.513999939,0.514959812
Tanzania,3.348999977,0.515219569
Philippines,5.429999828,0.516229331
Brazil,6.635000229,0.51712966
Costa Rica,7.078999996,0.517536998
Niger,4.027999878,0.519941509
Philippines,5.429999828,0.520344138
Peru,5.715000153,0.520767868
Australia,7.28399992,0.520914137
Zambia,4.513999939,0.521398664
Philippines,5.429999828,0.522216678
Dominican Republic,5.230000019,0.523203552
Iran,4.691999912,0.524211705
Dominican Republic,5.230000019,0.524867594
Uganda,4.080999851,0.525259852
Thailand,6.423999786,0.525973678
Mali,4.190000057,0.526048303
Cyprus,5.620999813,0.526920259
Chad,3.936000109,0.527852058
Tanzania,3.348999977,0.528927982
Honduras,5.181000233,0.529477537
Dominican Republic,5.230000019,0.529530406
Mali,4.190000057,0.531705558
Nicaragua,6.071000099,0.531768441
Benin,3.657000065,0.533302605
Philippines,5.429999828,0.533455908
Uganda,4.080999851,0.533777893
Panama,6.452000141,0.534175694
Senegal,4.534999847,0.53485024
Italy,5.964000225,0.535100996
Honduras,5.181000233,0.536724865
Denmark,7.521999836,0.537219882
South Africa,4.828999996,0.537494361
Tanzania,3.348999977,0.538572907
Iran,4.691999912,0.539592624
Haiti,3.602999926,0.540398598
Panama,6.452000141,0.540512502
Nigeria,5.073999882,0.541002631
Albania,4.644000053,0.54352808
United Kingdom,6.714000225,0.544114292
Chad,3.936000109,0.54660511
Honduras,5.181000233,0.548580468
Costa Rica,7.078999996,0.549096227
Paraguay,5.493000031,0.549546838
Mali,4.190000057,0.5512501
Canada,7.315999985,0.552203357
Haiti,3.602999926,0.553031921
Liberia,3.532999992,0.558121264
Colombia,6.356999874,0.558657408
Cameroon,4.695000172,0.559123993
Cameroon,4.695000172,0.559192836
Panama,6.452000141,0.560310006
Cameroon,4.695000172,0.561566055
Uganda,4.080999851,0.564874709
South Africa,4.828999996,0.565795124
United Kingdom,6.714000225,0.567944229
Albania,4.644000053,0.568152606
South Africa,4.828999996,0.568359911
South Africa,4.828999996,0.570175827
Nepal,4.961999893,0.571846128
South Africa,4.828999996,0.573822677
Ireland,6.977000237,0.575250983
Dominican Republic,5.230000019,0.576213002
Philippines,5.429999828,0.576922596
Zambia,4.513999939,0.581005216
Cameroon,4.695000172,0.586360455
Tanzania,3.348999977,0.592679143
Guatemala,6.453999996,0.592926323
Paraguay,5.493000031,0.598507524
Chad,3.936000109,0.598915517
Honduras,5.181000233,0.599836648
Canada,7.315999985,0.606446326
Tanzania,3.348999977,0.607147813
Togo,3.494999886,0.607988179
Philippines,5.429999828,0.608070076
Zambia,4.513999939,0.610943913
Tanzania,3.348999977,0.612580478
United States,6.993000031,0.612989604
Haiti,3.602999926,0.613710284
Denmark,7.521999836,0.61589241
Albania,4.644000053,0.617361069
Zambia,4.513999939,0.621956468
Togo,3.494999886,0.625356972
India,4.315000057,0.626251042
Albania,4.644000053,0.633796036
South Africa,4.828999996,0.633955836
South Africa,4.828999996,0.634760737
South Africa,4.828999996,0.648069084
United States,6.993000031,0.649792492
United Kingdom,6.714000225,0.652187049
Ireland,6.977000237,0.654718935
Uganda,4.080999851,0.655537009
Canada,7.315999985,0.663209915
Canada,7.315999985,0.667739451
United Kingdom,6.714000225,0.669811308
Zambia,4.513999939,0.671201229
Sierra Leone,4.709000111,0.674809217
United States,6.993000031,0.678262174
Canada,7.315999985,0.679011106
Zambia,4.513999939,0.68139255
Haiti,3.602999926,0.685332656
Dominican Republic,5.230000019,0.685581088
Uganda,4.080999851,0.685807765
Uganda,4.080999851,0.692854524
United States,6.993000031,0.69331491
Uganda,4.080999851,0.694141626
United States,6.993000031,0.70570153
Canada,7.315999985,0.710133135
United States,6.993000031,0.739406407
United States,6.993000031,0.753396153
Uganda,4.080999851,0.764007449
Mozambique,4.550000191,0.84946245
Canada,7.315999985,0.884413838
Canada,7.315999985,0.961435318
United States,6.993000031,0.997589052
Australia,7.28399992,
Belgium,6.890999794,
Brazil,6.635000229,
Canada,7.315999985,
Czech Republic,6.609000206,
Denmark,7.521999836,
Egypt,4.735000134,
France,6.441999912,
Germany,6.951000214,
Greece,5.227000237,
Hungary,5.323999882,
Iran,4.691999912,
Italy,5.964000225,
Japan,5.920000076,
Mexico,6.578000069,
Netherlands,7.376999855,
Pakistan,5.269000053,
Poland,5.97300005,
Romania,5.824999809,
Spain,6.402999878,
Sweden,7.28399992,
Turkey,5.5,
United Kingdom,6.714000225,
Venezuela,5.25,
Argentina,6.598999977,
Armenia,4.375999928,
Austria,7.006000042,
Bangladesh,4.607999802,
Belarus,5.568999767,
Benin,3.657000065,
Bolivia,5.822999954,
Cameroon,4.695000172,
Chad,3.936000109,
Chile,6.65199995,
Colombia,6.356999874,
Costa Rica,7.078999996,
Cyprus,5.620999813,
Dominican Republic,5.230000019,
Ecuador,6.007999897,
El Salvador,6.002999783,
Estonia,5.611000061,
Finland,7.468999863,
France,6.441999912,
Georgia,4.285999775,
Guatemala,6.453999996,
Haiti,3.602999926,
Honduras,5.181000233,
India,4.315000057,
Indonesia,5.262000084,
Ireland,6.977000237,
Israel,7.212999821,
Kazakhstan,5.818999767,
Kyrgyzstan,5.004000187,
Latvia,5.849999905,
Lithuania,5.90199995,
Malaysia,6.084000111,
Mali,4.190000057,
Moldova,5.837999821,
Mozambique,4.550000191,
Nepal,4.961999893,
Nicaragua,6.071000099,
Niger,4.027999878,
Nigeria,5.073999882,
Norway,7.537000179,
Palestinian Territories,4.775000095,
Panama,6.452000141,
Paraguay,5.493000031,
Peru,5.715000153,
Philippines,5.429999828,
Portugal,5.195000172,
Russia,5.962999821,
Senegal,4.534999847,
Sierra Leone,4.709000111,
Slovakia,6.09800005,
Slovenia,5.757999897,
South Africa,4.828999996,
Sri Lanka,4.440000057,
Switzerland,7.493999958,
Tanzania,3.348999977,
Thailand,6.423999786,
Togo,3.494999886,
Uganda,4.080999851,
Ukraine,4.096000195,
United States,6.993000031,
Uruguay,6.453999996,
Venezuela,5.25,
Vietnam,5.073999882,
Zambia,4.513999939,
Albania,4.644000053,
Argentina,6.598999977,
Armenia,4.375999928,
Australia,7.28399992,
Bangladesh,4.607999802,
Belarus,5.568999767,
Belgium,6.890999794,
Bolivia,5.822999954,
Bosnia and Herzegovina,5.18200016,
Brazil,6.635000229,
Bulgaria,4.714000225,
Cameroon,4.695000172,
Canada,7.315999985,
Chad,3.936000109,
Chile,6.65199995,
Colombia,6.356999874,
Costa Rica,7.078999996,
Croatia,5.293000221,
Czech Republic,6.609000206,
Denmark,7.521999836,
Dominican Republic,5.230000019,
Ecuador,6.007999897,
Egypt,4.735000134,
El Salvador,6.002999783,
Estonia,5.611000061,
Georgia,4.285999775,
Germany,6.951000214,
Greece,5.227000237,
Guatemala,6.453999996,
Honduras,5.181000233,
Hungary,5.323999882,
India,4.315000057,
Indonesia,5.262000084,
Iran,4.691999912,
Israel,7.212999821,
Italy,5.964000225,
Japan,5.920000076,
Kazakhstan,5.818999767,
Kosovo,5.278999805,
Kyrgyzstan,5.004000187,
Latvia,5.849999905,
Liberia,3.532999992,
Lithuania,5.90199995,
Malaysia,6.084000111,
Mauritania,4.291999817,
Mexico,6.578000069,
Moldova,5.837999821,
Mongolia,4.954999924,
Montenegro,5.236999989,
Mozambique,4.550000191,
Nepal,4.961999893,
Netherlands,7.376999855,
Nicaragua,6.071000099,
Niger,4.027999878,
Nigeria,5.073999882,
Pakistan,5.269000053,
Palestinian Territories,4.775000095,
Panama,6.452000141,
Paraguay,5.493000031,
Peru,5.715000153,
Philippines,5.429999828,
Poland,5.97300005,
Romania,5.824999809,
Russia,5.962999821,
Senegal,4.534999847,
Serbia,5.394999981,
Sierra Leone,4.709000111,
South Africa,4.828999996,
Spain,6.402999878,
Sri Lanka,4.440000057,
Sweden,7.28399992,
Tanzania,3.348999977,
Thailand,6.423999786,
Turkey,5.5,
Uganda,4.080999851,
Ukraine,4.096000195,
United Kingdom,6.714000225,
United States,6.993000031,
Uruguay,6.453999996,
Vietnam,5.073999882,
Zambia,4.513999939,
Argentina,6.598999977,
Armenia,4.375999928,
Australia,7.28399992,
Austria,7.006000042,
Bangladesh,4.607999802,
Belarus,5.568999767,
Belgium,6.890999794,
Benin,3.657000065,
Bolivia,5.822999954,
Brazil,6.635000229,
Cameroon,4.695000172,
Canada,7.315999985,
Chad,3.936000109,
Chile,6.65199995,
Colombia,6.356999874,
Costa Rica,7.078999996,
Denmark,7.521999836,
Dominican Republic,5.230000019,
Ecuador,6.007999897,
Egypt,4.735000134,
El Salvador,6.002999783,
Estonia,5.611000061,
Finland,7.468999863,
France,6.441999912,
Georgia,4.285999775,
Germany,6.951000214,
Guatemala,6.453999996,
Haiti,3.602999926,
Honduras,5.181000233,
India,4.315000057,
Indonesia,5.262000084,
Iran,4.691999912,
Ireland,6.977000237,
Israel,7.212999821,
Italy,5.964000225,
Japan,5.920000076,
Kazakhstan,5.818999767,
Kosovo,5.278999805,
Kyrgyzstan,5.004000187,
Latvia,5.849999905,
Liberia,3.532999992,
Lithuania,5.90199995,
Malaysia,6.084000111,
Mali,4.190000057,
Mauritania,4.291999817,
Mexico,6.578000069,
Moldova,5.837999821,
Mongolia,4.954999924,
Mozambique,4.550000191,
Nepal,4.961999893,
Netherlands,7.376999855,
Nicaragua,6.071000099,
Niger,4.027999878,
Nigeria,5.073999882,
Norway,7.537000179,
Pakistan,5.269000053,
Palestinian Territories,4.775000095,
Panama,6.452000141,
Paraguay,5.493000031,
Peru,5.715000153,
Philippines,5.429999828,
Portugal,5.195000172,
Russia,5.962999821,
Senegal,4.534999847,
Sierra Leone,4.709000111,
South Africa,4.828999996,
Spain,6.402999878,
Sri Lanka,4.440000057,
Sweden,7.28399992,
Tanzania,3.348999977,
Thailand,6.423999786,
Togo,3.494999886,
Turkey,5.5,
Uganda,4.080999851,
Ukraine,4.096000195,
United Kingdom,6.714000225,
United States,6.993000031,
Uruguay,6.453999996,
Venezuela,5.25,
Vietnam,5.073999882,
Zambia,4.513999939,
Hungary,5.323999882,
Poland,5.97300005,
Sweden,7.28399992,
Liberia,3.532999992,
Mongolia,4.954999924,
Sierra Leone,4.709000111,
Mozambique,4.550000191,
Sierra Leone,4.709000111,
Sierra Leone,4.709000111,
Liberia,3.532999992,
Sierra Leone,4.709000111,
Liberia,3.532999992,
Sierra Leone,4.709000111,
